PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY ILINet 2020-2021 Season 
Week 	Age 0-4 	Age 5-24 	Age 25-49 	Age 50-64 	Age over 64 	Total ILI 	Total Patients 	% Unweighted ILI 	% Weighted ILI
202040	2464	4715	5112	2375	1847	16513	1540369	1.1	1.1
202041	2556	5254	6028	3008	2325	19171	1616062	1.2	1.2
202042	2308	4619	5672	2551	2105	17255	1582848	1.1	1.1
202043	2447	4860	5861	2830	2179	18177	1580197	1.2	1.2
202044	2518	4933	6102	2774	2302	18629	1564342	1.2	1.3
202045	2727	5855	7086	3289	2461	21418	1602175	1.3	1.4
202046	2776	5551	7683	3736	2876	22622	1641178	1.4	1.5
202047	2693	5351	7826	3958	2898	22726	1591844	1.4	1.6
202048	2485	4582	7094	3961	3194	21316	1424710	1.5	1.6
202049	2604	4872	7696	3986	3139	22297	1538816	1.4	1.6
202050	2567	4724	7527	4072	3323	22213	1553384	1.4	1.5
202051	2482	4279	7130	3846	3145	20882	1493133	1.4	1.5
202052	2323	3565	6632	3926	3408	19854	1361736	1.5	1.6
202053	2585	3934	7729	4520	3668	22436	1458159	1.5	1.6
202101	2414	4547	7972	4359	3415	22707	1582458	1.4	1.5
202102	2380	4057	6399	3524	2829	19189	1518164	1.3	1.3
202103	2566	4056	5876	3308	2542	18348	1514797	1.2	1.3
202104	2560	3941	5342	2808	2240	16891	1505482	1.1	1.1
202105	2635	4015	4995	2527	1926	16098	1485905	1.1	1.2
202106	2557	3735	4101	2135	1576	14104	1444677	1	1
202107	2319	3154	3710	1921	1504	12608	1385993	0.9	1
202108	2543	3541	3840	1899	1521	13344	1547324	0.9	0.9
202109	2772	3546	3531	1809	1351	13009	1540561	0.8	0.8
202110	3218	3810	3780	1906	1375	14089	1556360	0.9	0.9
202111	3514	3862	3933	1909	1360	14578	1548138	0.9	0.9
202112	3812	3912	4209	2056	1354	15343	1594848	1	1
202113	4112	4093	4386	2125	1264	15980	1598457	1	1
202114	4732	4682	5058	2288	1362	18122	1675900	1.1	1.1
202115	5221	4903	5285	2360	1383	19152	1722368	1.1	1.1
202116	5759	5088	4852	2143	1451	19293	1671898	1.2	1.1
202117	6317	5502	4809	2039	1418	20085	1692822	1.2	1.1
202118	6733	5321	4605	1796	1288	19743	1637360	1.2	1.1
202119	7330	5436	4325	1817	1275	20183	1608206	1.3	1.2
202120	8304	5345	4379	1714	1305	21047	1651952	1.3	1.3
202121	7777	4789	3835	1497	1116	19014	1584453	1.2	1.1
