 U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet):
Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers
2020-2021 Season 	0-4 years 	5-24 years 	25-49 years 	50-64 years 	65+ years
Week 	Total Visits 	ILI 	Total Visits 	ILI 	Total Visits 	ILI 	Total Visits 	ILI 	Total Visits 	ILI
201940	56297	6.0	172204	2.4	249207	1.2	134853	0.7	150464	0.5
201941	58682	6.2	171190	2.4	247201	1.3	136578	0.8	154517	0.6
201942	59887	6.8	166497	2.7	242025	1.4	134987	0.9	154145	0.6
201943	61051	7.1	175250	2.9	249407	1.5	139182	0.9	157967	0.6
201944	63453	7.4	170789	3.1	245143	1.5	133273	0.9	151569	0.6
201945	66166	8.4	172988	3.7	242759	1.7	132902	1.0	151719	0.6
201946	67257	9.3	170055	4.2	240611	2.0	131376	1.2	147996	0.7
201947	73294	9.7	176962	5.0	253239	2.2	138734	1.3	153845	0.8
201948	74319	11.2	152325	5.3	231495	2.4	126916	1.4	148049	0.9
201949	73243	10.6	174304	4.9	255214	2.8	136783	1.6	155770	1.0
201950	76032	10.8	183387	6.1	254750	3.0	137775	1.7	155497	1.0
201951	81306	12.4	183096	8.4	251594	3.7	135006	1.9	155329	1.2
201952	90267	15.9	170131	11.5	258507	5.9	140740	3.2	165096	2.0
202001	86269	14.7	162051	8.4	280118	5.9	149437	3.5	170051	2.4
202002	72528	12.3	173167	7.0	273733	5.1	147637	3.1	165487	1.9
202003	73278	12.8	183144	8.1	266393	4.8	143617	2.9	160122	1.7
202004	75510	13.8	185890	9.4	266198	5.3	142592	3.2	158033	1.7
202005	78728	14.6	208281	10.5	277969	6.3	145238	3.9	160551	2.0
202006	78433	15.0	207872	11.2	275995	6.8	146837	4.1	159751	2.1
202007	75421	13.6	196597	9.7	274401	6.1	148601	3.8	163078	2.0
202008	68165	13.1	174065	8.6	251090	5.7	137025	3.7	151611	2.1
202009	67748	11.8	179557	7.4	261852	5.4	142603	3.6	158538	2.0
202010	69200	11.8	188151	7.4	271080	5.5	147531	3.7	162779	2.2
